year,state,district,crop,season,soil_type,irrigation,seed_variety,area,rainfall,temperature,fertilizer,pesticide,production,yield
1998,Odisha,Sundargarh,Ragi,Winter,Lateritic,Lift,Local,39112.0,1357.1,20.62,3864265.6,11342.48,24271.0,0.539047619
1998,Odisha,Sundargarh,Rapeseed &Mustard,Winter,Lateritic,Lift,Local,19021.0,1357.1,20.62,1879274.8,5516.09,2376.0,0.113
1998,Odisha,Sundargarh,Rice,Autumn,Lateritic,Lift,Local,819731.0,1357.1,22.42,80989422.8,237721.99,501365.0,0.837666667
1998,Odisha,Sundargarh,Rice,Summer,Mixed Red & Yellow,Tubewell,Local,268081.0,1357.1,26.41,26486402.8,77743.49,506455.0,1.582666667
1998,Odisha,Sundargarh,Rice,Winter,Lateritic,Tubewell,Hybrid,3358901.0,1357.1,20.62,331859418.8,974081.29,4383502.0,1.342333333
1998,Odisha,Sundargarh,Sesamum,Autumn,Mixed Red & Yellow,Lift,Hybrid,7694.0,1357.1,22.42,760167.2,2231.26,1269.0,0.182941176
1998,Odisha,Sundargarh,Sesamum,Summer,Lateritic,Lift,Local,7864.0,1357.1,26.41,776963.2,2280.56,1683.0,0.203703704
1998,Odisha,Sundargarh,Sesamum,Winter,Lateritic,Tubewell,Local,37995.0,1357.1,20.62,3753906.0,11018.55,6669.0,0.1668
1998,Odisha,Sundargarh,Sugarcane,Winter,Mixed Red & Yellow,Lift,Local,22325.0,1357.1,20.62,2205710.0,6474.25,1469529.0,58.57666667
1998,Odisha,Sundargarh,Urad,Autumn,Lateritic,Tubewell,Local,35494.0,1357.1,22.42,3506807.2,10293.26,9030.0,0.1888
1998,Odisha,Sundargarh,Urad,Summer,Mixed Red & Yellow,Lift,Hybrid,2544.0,1357.1,26.41,251347.2,737.76,529.0,0.240454545
1998,Odisha,Sundargarh,Urad,Winter,Mixed Red & Yellow,Tubewell,Local,100561.0,1357.1,20.62,9935426.8,29162.69,28577.0,0.222666667
1998,Odisha,Sundargarh,Wheat,Summer,Mixed Red & Yellow,Tubewell,Local,3868.0,1357.1,26.41,382158.4,1121.72,4441.0,1.108
1999,Odisha,Sundargarh,Arhar/Tur,Kharif,Mixed Red & Yellow,Lift,Local,136080.0,1484.3,26.362,14442170.4,36741.6,85500.0,0.642
1999,Odisha,Sundargarh,Bajra,Kharif,Lateritic,Lift,Hybrid,4010.0,1484.3,26.362,425581.3,1082.7,2350.0,0.586363636
1999,Odisha,Sundargarh,Castor Seed,Kharif,Mixed Red & Yellow,Lift,Local,12160.0,1484.3,26.362,1290540.8,3283.2,6260.0,0.5032
1999,Odisha,Sundargarh,Castor Seed,Rabi,Mixed Red & Yellow,Lift,Local,9720.0,1484.3,22.17166667,1031583.6,2624.4,4800.0,0.649230769
1999,Odisha,Sundargarh,Coriander,Rabi,Lateritic,Lift,Hybrid,25170.0,1484.3,22.17166667,2671292.1,6795.9,10330.0,0.439655172
1999,Odisha,Sundargarh,Cotton(Lint),Kharif,Mixed Red & Yellow,Tubewell,Local,38120.0,1484.3,26.362,4045675.6,10292.4,61030.0,1.215714286
1999,Odisha,Sundargarh,Dry Chillies,Kharif,Mixed Red & Yellow,Tubewell,Hybrid,44090.0,1484.3,26.362,4679271.7,11904.3,38300.0,0.832
1999,Odisha,Sundargarh,Dry Chillies,Rabi,Mixed Red & Yellow,Lift,Local,57420.0,1484.3,22.17166667,6093984.6,15503.4,49620.0,0.827333333
1999,Odisha,Sundargarh,Garlic,Rabi,Lateritic,Lift,Local,17610.0,1484.3,22.17166667,1868949.3,4754.7,52280.0,2.941
1999,Odisha,Sundargarh,Ginger,Kharif,Mixed Red & Yellow,Lift,Hybrid,13070.0,1484.3,26.362,1387119.1,3528.9,25930.0,1.975714286
1999,Odisha,Sundargarh,Gram,Rabi,Mixed Red & Yellow,Tubewell,Hybrid,33610.0,1484.3,22.17166667,3567029.3,9074.7,20310.0,0.513703704
1999,Odisha,Sundargarh,Groundnut,Kharif,Lateritic,Lift,Hybrid,100440.0,1484.3,26.362,10659697.2,27118.8,103490.0,1.105555556
1999,Odisha,Sundargarh,Groundnut,Rabi,Lateritic,Tubewell,Local,150020.0,1484.3,22.17166667,15921622.6,40505.4,256770.0,1.517857143
1999,Odisha,Sundargarh,Horse-Gram,Rabi,Mixed Red & Yellow,Tubewell,Local,290330.0,1484.3,22.17166667,30812722.9,78389.1,96910.0,0.330869565
1999,Odisha,Sundargarh,Jowar,Kharif,Lateritic,Lift,Local,13760.0,1484.3,26.362,1460348.8,3715.2,8280.0,0.582
1999,Odisha,Sundargarh,Jute,Kharif,Mixed Red & Yellow,Lift,Local,13890.0,1484.3,26.362,1474145.7,3750.3,91740.0,5.435
1999,Odisha,Sundargarh,Linseed,Rabi,Mixed Red & Yellow,Lift,Local,27450.0,1484.3,22.17166667,2913268.5,7411.5,10590.0,0.516470588
1999,Odisha,Sundargarh,Maize,Kharif,Lateritic,Lift,Local,165330.0,1484.3,26.362,17546472.9,44639.1,206370.0,1.160333333
1999,Odisha,Sundargarh,Maize,Rabi,Lateritic,Lift,Hybrid,8270.0,1484.3,22.17166667,877695.1,2232.9,10280.0,1.395357143
1999,Odisha,Sundargarh,Masoor,Rabi,Lateritic,Lift,Hybrid,15610.0,1484.3,22.17166667,1656689.3,4214.7,7360.0,0.401666667
1999,Odisha,Sundargarh,Mesta,Kharif,Lateritic,Lift,Local,30370.0,1484.3,26.362,3223168.1,8199.9,129640.0,3.855555556
1999,Odisha,Sundargarh,Moong(Green Gram),Kharif,Lateritic,Tubewell,Hybrid,149000.0,1484.3,26.362,15813370.0,40230.0,51470.0,0.355384615
1999,Odisha,Sundargarh,Moong(Green Gram),Rabi,Lateritic,Lift,Hybrid,441000.0,1484.3,22.17166667,46803330.0,119070.0,175720.0,0.371333333
1999,Odisha,Sundargarh,Niger Seed,Kharif,Mixed Red & Yellow,Tubewell,Hybrid,118030.0,1484.3,26.362,12526523.9,31868.1,38670.0,0.376428571
1999,Odisha,Sundargarh,Niger Seed,Rabi,Lateritic,Tubewell,Local,19010.0,1484.3,22.17166667,2017531.3,5132.7,7020.0,0.397142857
1999,Odisha,Sundargarh,Onion,Whole Year,Mixed Red & Yellow,Lift,Hybrid,46400.0,1484.3,24.67,4924432.0,12528.0,368350.0,7.043
1999,Odisha,Sundargarh,Potato,Whole Year,Lateritic,Tubewell,Hybrid,8740.0,1484.3,24.67,927576.2,2359.8,91050.0,9.781851852
1999,Odisha,Sundargarh,Ragi,Kharif,Lateritic,Lift,Hybrid,202170.0,1484.3,26.362,21456302.1,54585.9,146790.0,0.615357143
1999,Odisha,Sundargarh,Ragi,Rabi,Mixed Red & Yellow,Tubewell,Local,6790.0,1484.3,22.17166667,720622.7,1833.3,6860.0,0.783636364
1999,Odisha,Sundargarh,Rapeseed &Mustard,Rabi,Lateritic,Lift,Local,125200.0,1484.3,22.17166667,13287476.0,33804.0,41040.0,0.338333333
1999,Odisha,Sundargarh,Rice,Autumn,Lateritic,Tubewell,Local,797000.0,1484.3,22.29,84585610.0,215190.0,743000.0,0.971333333
1999,Odisha,Sundargarh,Rice,Summer,Mixed Red & Yellow,Tubewell,Hybrid,381810.0,1484.3,26.66,40521495.3,103088.7,912040.0,2.073333333
1999,Odisha,Sundargarh,Rice,Winter,Mixed Red & Yellow,Tubewell,Local,3423000.0,1484.3,20.59666667,363282990.0,924210.0,3532000.0,1.142666667
1999,Odisha,Sundargarh,Safflower,Rabi,Lateritic,Lift,Hybrid,2400.0,1484.3,22.17166667,254712.0,648.0,1150.0,0.374
1999,Odisha,Sundargarh,Sannhamp,Whole Year,Mixed Red & Yellow,Tubewell,Hybrid,11450.0,1484.3,24.67,1215188.5,3091.5,37050.0,3.852
1999,Odisha,Sundargarh,Sesamum,Kharif,Lateritic,Tubewell,Hybrid,203000.0,1484.3,26.362,21544390.0,54810.0,64050.0,0.362857143
1999,Odisha,Sundargarh,Sesamum,Rabi,Mixed Red & Yellow,Tubewell,Hybrid,73980.0,1484.3,22.17166667,7851497.4,19974.6,26690.0,0.372857143
1999,Odisha,Sundargarh,Small Millets,Kharif,Mixed Red & Yellow,Lift,Local,41960.0,1484.3,26.362,4453214.8,11329.2,18850.0,0.417894737
1999,Odisha,Sundargarh,Soyabean,Kharif,Lateritic,Lift,Local,60.0,1484.3,26.362,6367.8,16.2,10.0,0.17
1999,Odisha,Sundargarh,Sugarcane,Winter,Mixed Red & Yellow,Tubewell,Local,30970.0,1484.3,20.59666667,3286846.1,8361.9,1826930.0,60.69166667
1999,Odisha,Sundargarh,Sunflower,Kharif,Lateritic,Tubewell,Hybrid,570.0,1484.3,26.362,60494.1,153.9,330.0,0.476666667
1999,Odisha,Sundargarh,Sunflower,Rabi,Mixed Red & Yellow,Lift,Hybrid,8780.0,1484.3,22.17166667,931821.4,2370.6,7120.0,0.71962963
1999,Odisha,Sundargarh,Sweet Potato,Kharif,Mixed Red & Yellow,Tubewell,Hybrid,34100.0,1484.3,26.362,3619033.0,9207.0,292450.0,8.429642857
1999,Odisha,Sundargarh,Sweet Potato,Rabi,Mixed Red & Yellow,Lift,Local,9780.0,1484.3,22.17166667,1037951.4,2640.6,68770.0,7.766153846
1999,Odisha,Sundargarh,Tobacco,Whole Year,Lateritic,Tubewell,Hybrid,7430.0,1484.3,24.67,788545.9,2006.1,4590.0,0.558181818
1999,Odisha,Sundargarh,Turmeric,Kharif,Mixed Red & Yellow,Lift,Hybrid,28120.0,1484.3,26.362,2984375.6,7592.4,61180.0,1.9832
1999,Odisha,Sundargarh,Urad,Kharif,Mixed Red & Yellow,Tubewell,Local,198000.0,1484.3,26.362,21013740.0,53460.0,71940.0,0.386666667
1999,Odisha,Sundargarh,Urad,Rabi,Lateritic,Lift,Local,285970.0,1484.3,22.17166667,30349996.1,77211.9,105570.0,0.366333333
1999,Odisha,Sundargarh,Wheat,Rabi,Mixed Red & Yellow,Tubewell,Local,18540.0,1484.3,22.17166667,1967650.2,5005.8,24850.0,1.351333333
2000,Odisha,Sundargarh,Arhar/Tur,Kharif,Lateritic,Tubewell,Local,149140.0,1066.0,26.32,14641073.8,38776.4,97170.0,0.639666667
2000,Odisha,Sundargarh,Arhar/Tur,Rabi,Lateritic,Tubewell,Hybrid,50.0,1066.0,22.195,4908.5,13.0,30.0,0.585
2000,Odisha,Sundargarh,Bajra,Kharif,Lateritic,Lift,Hybrid,4120.0,1066.0,26.32,404460.4,1071.2,2350.0,0.564
2000,Odisha,Sundargarh,Castor Seed,Kharif,Lateritic,Tubewell,Local,9710.0,1066.0,26.32,953230.7,2524.6,5050.0,0.5196
2000,Odisha,Sundargarh,Castor Seed,Rabi,Mixed Red & Yellow,Lift,Hybrid,8650.0,1066.0,22.195,849170.5,2249.0,3940.0,0.506923077
2000,Odisha,Sundargarh,Coriander,Whole Year,Mixed Red & Yellow,Lift,Local,13370.0,1066.0,24.6,1312532.9,3476.2,6550.0,0.482222222
2000,Odisha,Sundargarh,Cotton(Lint),Kharif,Lateritic,Tubewell,Hybrid,39160.0,1066.0,26.32,3844337.2,10181.6,65090.0,1.654
2000,Odisha,Sundargarh,Dry Chillies,Whole Year,Mixed Red & Yellow,Lift,Local,69650.0,1066.0,24.6,6837540.5,18109.0,58950.0,0.838
2000,Odisha,Sundargarh,Garlic,Whole Year,Mixed Red & Yellow,Tubewell,Local,9000.0,1066.0,24.6,883530.0,2340.0,28280.0,3.123
2000,Odisha,Sundargarh,Ginger,Kharif,Mixed Red & Yellow,Tubewell,Local,12060.0,1066.0,26.32,1183930.2,3135.6,23840.0,1.962142857
2000,Odisha,Sundargarh,Gram,Rabi,Mixed Red & Yellow,Tubewell,Local,20630.0,1066.0,22.195,2025247.1,5363.8,12760.0,0.528666667
2000,Odisha,Sundargarh,Groundnut,Kharif,Mixed Red & Yellow,Tubewell,Hybrid,72357.0,1066.0,26.32,7103286.69,18812.82,57475.0,0.885666667
2000,Odisha,Sundargarh,Horse-Gram,Kharif,Lateritic,Tubewell,Hybrid,75996.0,1066.0,26.32,7460527.32,19758.96,14594.0,0.217931034
2000,Odisha,Sundargarh,Jowar,Kharif,Lateritic,Lift,Hybrid,13000.0,1066.0,26.32,1276210.0,3380.0,7480.0,0.598
2000,Odisha,Sundargarh,Jute,Kharif,Mixed Red & Yellow,Tubewell,Hybrid,13850.0,1066.0,26.32,1359654.5,3601.0,106680.0,5.8825
2000,Odisha,Sundargarh,Linseed,Rabi,Lateritic,Lift,Local,20630.0,1066.0,22.195,2025247.1,5363.8,7460.0,0.361875
2000,Odisha,Sundargarh,Maize,Kharif,Lateritic,Lift,Hybrid,54371.0,1066.0,26.32,5337601.07,14136.46,68866.0,0.8808
2000,Odisha,Sundargarh,Mesta,Kharif,Mixed Red & Yellow,Lift,Local,23880.0,1066.0,26.32,2344299.6,6208.8,102620.0,3.9072
2000,Odisha,Sundargarh,Moong(Green Gram),Kharif,Mixed Red & Yellow,Tubewell,Hybrid,147440.0,1066.0,26.32,14474184.8,38334.4,29290.0,0.21
2000,Odisha,Sundargarh,Niger Seed,Kharif,Lateritic,Tubewell,Local,126530.0,1066.0,26.32,12421450.1,32897.8,29980.0,0.342307692
2000,Odisha,Sundargarh,Niger Seed,Rabi,Mixed Red & Yellow,Tubewell,Hybrid,31500.0,1066.0,22.195,3092355.0,8190.0,9030.0,0.384545455
2000,Odisha,Sundargarh,Onion,Whole Year,Lateritic,Tubewell,Hybrid,27400.0,1066.0,24.6,2689858.0,7124.0,229420.0,7.385666667
2000,Odisha,Sundargarh,Other  Rabi Pulses,Rabi,Lateritic,Lift,Local,2180.0,1066.0,22.195,214010.6,566.8,1090.0,0.514444444
2000,Odisha,Sundargarh,Other Kharif Pulses,Kharif,Lateritic,Tubewell,Hybrid,26610.0,1066.0,26.32,2612303.7,6918.6,14510.0,0.520714286
2000,Odisha,Sundargarh,Potato,Whole Year,Lateritic,Lift,Local,8251.0,1066.0,24.6,810000.67,2145.26,85872.0,9.321071429
2000,Odisha,Sundargarh,Ragi,Kharif,Lateritic,Lift,Hybrid,83981.0,1066.0,26.32,8244414.77,21835.06,46554.0,0.424230769
2000,Odisha,Sundargarh,Rapeseed &Mustard,Rabi,Mixed Red & Yellow,Tubewell,Local,12395.0,1066.0,22.195,1216817.15,3222.7,1649.0,0.132758621
2000,Odisha,Sundargarh,Rice,Autumn,Mixed Red & Yellow,Lift,Hybrid,854570.0,1066.0,22.68,83893136.9,222188.2,464250.0,0.733666667
2000,Odisha,Sundargarh,Rice,Summer,Mixed Red & Yellow,Lift,Hybrid,206730.0,1066.0,26.47,20294684.1,53749.8,441540.0,1.685333333
2000,Odisha,Sundargarh,Rice,Winter,Mixed Red & Yellow,Tubewell,Local,3372220.0,1066.0,20.44666667,331050837.4,876777.2,3707590.0,1.020666667
2000,Odisha,Sundargarh,Safflower,Rabi,Mixed Red & Yellow,Tubewell,Local,1390.0,1066.0,22.195,136456.3,361.4,780.0,0.546
2000,Odisha,Sundargarh,Sannhamp,Whole Year,Lateritic,Tubewell,Local,11160.0,1066.0,24.6,1095577.2,2901.6,42290.0,4.0725
2000,Odisha,Sundargarh,Sesamum,Kharif,Lateritic,Tubewell,Hybrid,50502.0,1066.0,26.32,4957781.34,13130.52,6737.0,0.182
2000,Odisha,Sundargarh,Small Millets,Kharif,Lateritic,Lift,Hybrid,40520.0,1066.0,26.32,3977848.4,10535.2,15630.0,0.411666667
2000,Odisha,Sundargarh,Sugarcane,Whole Year,Lateritic,Tubewell,Local,16775.0,1066.0,24.6,1646801.75,4361.5,963917.0,51.06793103
2000,Odisha,Sundargarh,Sunflower,Kharif,Lateritic,Lift,Hybrid,830.0,1066.0,26.32,81481.1,215.8,480.0,0.58
2000,Odisha,Sundargarh,Sunflower,Rabi,Mixed Red & Yellow,Lift,Local,4250.0,1066.0,22.195,417222.5,1105.0,3110.0,0.643928571
2000,Odisha,Sundargarh,Sweet Potato,Whole Year,Lateritic,Lift,Local,37670.0,1066.0,24.6,3698063.9,9794.2,272050.0,7.797666667
2000,Odisha,Sundargarh,Tobacco,Whole Year,Lateritic,Lift,Hybrid,3380.0,1066.0,24.6,331814.6,878.8,1560.0,0.454166667
2000,Odisha,Sundargarh,Turmeric,Whole Year,Mixed Red & Yellow,Tubewell,Hybrid,25310.0,1066.0,24.6,2484682.7,6580.6,60630.0,2.341923077
2000,Odisha,Sundargarh,Urad,Kharif,Mixed Red & Yellow,Tubewell,Local,109101.0,1066.0,26.32,10710445.17,28366.26,27258.0,0.215666667
2000,Odisha,Sundargarh,Wheat,Rabi,Lateritic,Tubewell,Hybrid,8819.0,1066.0,22.195,865761.23,2292.94,12904.0,1.201538462
2001,Odisha,Sundargarh,Arhar/Tur,Kharif,Lateritic,Tubewell,Hybrid,126080.0,1672.5,26.48,12876550.4,32780.8,81340.0,0.696666667
2001,Odisha,Sundargarh,Arhar/Tur,Rabi,Mixed Red & Yellow,Tubewell,Hybrid,290.0,1672.5,22.31333333,29617.7,75.4,160.0,0.616666667
2001,Odisha,Sundargarh,Bajra,Kharif,Mixed Red & Yellow,Lift,Hybrid,4010.0,1672.5,26.48,409541.3,1042.6,2270.0,0.555
2001,Odisha,Sundargarh,Castor Seed,Kharif,Lateritic,Tubewell,Hybrid,8670.0,1672.5,26.48,885467.1,2254.2,4310.0,0.520909091
2001,Odisha,Sundargarh,Castor Seed,Rabi,Mixed Red & Yellow,Lift,Local,9220.0,1672.5,22.31333333,941638.6,2397.2,5020.0,0.5328
2001,Odisha,Sundargarh,Coriander,Whole Year,Mixed Red & Yellow,Tubewell,Local,12910.0,1672.5,24.73,1318498.3,3356.6,5970.0,0.449666667
2001,Odisha,Sundargarh,Dry Chillies,Whole Year,Mixed Red & Yellow,Lift,Hybrid,70030.0,1672.5,24.73,7152163.9,18207.8,59180.0,0.844666667
2001,Odisha,Sundargarh,Garlic,Whole Year,Mixed Red & Yellow,Tubewell,Local,8950.0,1672.5,24.73,914063.5,2327.0,28280.0,3.164666667
2001,Odisha,Sundargarh,Ginger,Kharif,Lateritic,Tubewell,Hybrid,13040.0,1672.5,26.48,1331775.2,3390.4,25210.0,1.808666667
2001,Odisha,Sundargarh,Gram,Rabi,Mixed Red & Yellow,Tubewell,Local,29520.0,1672.5,22.31333333,3014877.6,7675.2,19180.0,0.514642857
2001,Odisha,Sundargarh,Groundnut,Kharif,Mixed Red & Yellow,Lift,Local,61067.0,1672.5,26.48,6236772.71,15877.42,59904.0,0.966666667
2001,Odisha,Sundargarh,Horse-Gram,Kharif,Lateritic,Tubewell,Local,91171.0,1672.5,26.48,9311294.23,23704.46,28017.0,0.315172414
2001,Odisha,Sundargarh,Jowar,Kharif,Lateritic,Tubewell,Local,12260.0,1672.5,26.48,1252113.8,3187.6,7090.0,0.607894737
2001,Odisha,Sundargarh,Jute,Kharif,Lateritic,Tubewell,Local,4612.0,1672.5,26.48,471023.56,1199.12,37776.0,8.092222222
2001,Odisha,Sundargarh,Linseed,Rabi,Mixed Red & Yellow,Tubewell,Local,23080.0,1672.5,22.31333333,2357160.4,6000.8,8530.0,0.355333333
2001,Odisha,Sundargarh,Maize,Kharif,Lateritic,Tubewell,Hybrid,51428.0,1672.5,26.48,5252341.64,13371.28,46658.0,0.714615385
2001,Odisha,Sundargarh,Masoor,Rabi,Mixed Red & Yellow,Lift,Hybrid,8790.0,1672.5,22.31333333,897722.7,2285.4,3250.0,0.364
2001,Odisha,Sundargarh,Moong(Green Gram),Kharif,Lateritic,Lift,Hybrid,212511.0,1672.5,26.48,21703748.43,55252.86,51097.0,0.235666667
2001,Odisha,Sundargarh,Niger Seed,Kharif,Lateritic,Tubewell,Local,115170.0,1672.5,26.48,11762312.1,29944.2,26960.0,0.283076923
2001,Odisha,Sundargarh,Niger Seed,Rabi,Mixed Red & Yellow,Tubewell,Local,28290.0,1672.5,22.31333333,2889257.7,7355.4,8860.0,0.365833333
2001,Odisha,Sundargarh,Onion,Whole Year,Mixed Red & Yellow,Tubewell,Local,19410.0,1672.5,24.73,1982343.3,5046.6,173430.0,8.714333333
2001,Odisha,Sundargarh,Other  Rabi Pulses,Rabi,Lateritic,Tubewell,Hybrid,35620.0,1672.5,22.31333333,3637870.6,9261.2,21120.0,0.62
2001,Odisha,Sundargarh,Other Kharif Pulses,Kharif,Lateritic,Lift,Local,21440.0,1672.5,26.48,2189667.2,5574.4,10630.0,0.47125
2001,Odisha,Sundargarh,Potato,Whole Year,Lateritic,Tubewell,Local,7580.0,1672.5,24.73,774145.4,1970.8,78049.0,9.565714286
2001,Odisha,Sundargarh,Ragi,Kharif,Lateritic,Lift,Local,76262.0,1672.5,26.48,7788638.06,19828.12,45077.0,0.489166667
2001,Odisha,Sundargarh,Rapeseed &Mustard,Rabi,Lateritic,Lift,Local,14159.0,1672.5,22.31333333,1446058.67,3681.34,2224.0,0.139310345
2001,Odisha,Sundargarh,Rice,Kharif,Mixed Red & Yellow,Lift,Local,4500000.0,1672.5,26.48,459585000.0,1170000.0,7220000.0,1.583666667
2001,Odisha,Sundargarh,Safflower,Rabi,Lateritic,Lift,Hybrid,3950.0,1672.5,22.31333333,403413.5,1027.0,2190.0,0.4905
2001,Odisha,Sundargarh,Sesamum,Kharif,Lateritic,Lift,Local,51573.0,1672.5,26.48,5267150.49,13408.98,11341.0,0.225
2001,Odisha,Sundargarh,Small Millets,Kharif,Lateritic,Tubewell,Local,42360.0,1672.5,26.48,4326226.8,11013.6,20120.0,0.426875
